Outbound From,Destination,ArrivalCountry,Inbound To,Departure Date,Return Date,Trip Duration (Days),Outbound Price,Inbound Price,Total Price,IATA_Departure,IATA_Destination,IATA_Return,Outbound Provider,Inbound Provider,Outbound Source Currency,Inbound Source Currency,Round_Trip_Link,Route,AvgPrice,z_score,price_change_percent
Warszawa,Malaga,Hiszpania,Warszawa,2026-05-28,2026-06-02,5,219.0,144.74,363.74,WARS,AGP,WARS,wizzair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=agp&outboundDate=2026-05-28&inboundDate=2026-06-02&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Malaga,415.34414634146344,-1.6925954746095078,
Warszawa,Malaga,Hiszpania,Warszawa,2026-05-26,2026-06-02,7,219.0,144.74,363.74,WARS,AGP,WARS,wizzair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=agp&outboundDate=2026-05-26&inboundDate=2026-06-02&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Malaga,415.34414634146344,-1.6925954746095078,
Warszawa,Malaga,Hiszpania,Warszawa,2026-06-13,2026-06-16,3,188.67,183.07,371.74,WARS,AGP,WARS,ryanair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=agp&outboundDate=2026-06-13&inboundDate=2026-06-16&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Malaga,465.0547058823529,-1.608163554492289,
Warszawa,Malaga,Hiszpania,Warszawa,2026-05-16,2026-05-21,5,164.64,212.89,377.53,WARS,AGP,WARS,ryanair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=agp&outboundDate=2026-05-16&inboundDate=2026-05-21&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Malaga,415.34414634146344,-1.2402889595395963,
Warszawa,Malaga,Hiszpania,Warszawa,2026-05-16,2026-05-20,4,164.64,212.89,377.53,WARS,AGP,WARS,ryanair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=agp&outboundDate=2026-05-16&inboundDate=2026-05-20&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Malaga,415.34414634146344,-1.2402889595395963,
Warszawa,Alicante,Hiszpania,Warszawa,2026-05-16,2026-05-21,5,164.64,212.89,377.53,WARS,ALC,WARS,ryanair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=alc&outboundDate=2026-05-16&inboundDate=2026-05-21&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Alicante,429.5358333333333,-2.99204654684042,
Warszawa,Malaga,Hiszpania,Warszawa,2026-05-17,2026-05-20,3,170.29,212.89,383.17999999999995,WARS,AGP,WARS,ryanair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=agp&outboundDate=2026-05-17&inboundDate=2026-05-20&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Malaga,415.34414634146344,-1.05497120680972,
Warszawa,Malaga,Hiszpania,Warszawa,2026-05-17,2026-05-21,4,170.29,212.89,383.17999999999995,WARS,AGP,WARS,ryanair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=agp&outboundDate=2026-05-17&inboundDate=2026-05-21&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Malaga,415.34414634146344,-1.05497120680972,
Warszawa,Malaga,Hiszpania,Warszawa,2026-06-02,2026-06-04,2,219.0,166.04,385.03999999999996,WARS,AGP,WARS,wizzair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=agp&outboundDate=2026-06-02&inboundDate=2026-06-04&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Malaga,465.0547058823529,-1.378954502473059,
Warszawa,Alicante,Hiszpania,Warszawa,2026-06-10,2026-06-12,2,179.0,212.89,391.89,WARS,ALC,WARS,wizzair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=alc&outboundDate=2026-06-10&inboundDate=2026-06-12&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Alicante,442.80114285714285,-1.3272442188326268,
Warszawa,Alicante,Hiszpania,Warszawa,2026-06-10,2026-06-13,3,179.0,221.99,400.99,WARS,ALC,WARS,wizzair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=alc&outboundDate=2026-06-10&inboundDate=2026-06-13&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Alicante,442.80114285714285,-1.0900088767530414,
Warszawa,Alicante,Hiszpania,Warszawa,2026-05-18,2026-05-21,3,188.67,212.89,401.55999999999995,WARS,ALC,WARS,ryanair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=alc&outboundDate=2026-05-18&inboundDate=2026-05-21&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Alicante,429.5358333333333,-1.609530895956861,
Warszawa,Alicante,Hiszpania,Warszawa,2026-06-13,2026-06-18,5,188.67,212.89,401.55999999999995,WARS,ALC,WARS,ryanair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=alc&outboundDate=2026-06-13&inboundDate=2026-06-18&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Alicante,442.80114285714285,-1.0751490806008053,
Warszawa,Malaga,Hiszpania,Warszawa,2026-06-11,2026-06-16,5,219.0,183.07,402.07,WARS,AGP,WARS,wizzair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=agp&outboundDate=2026-06-11&inboundDate=2026-06-16&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Malaga,465.0547058823529,-1.0854635133085846,
Warszawa,Malaga,Hiszpania,Warszawa,2026-06-09,2026-06-16,7,219.0,183.07,402.07,WARS,AGP,WARS,wizzair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=agp&outboundDate=2026-06-09&inboundDate=2026-06-16&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Malaga,465.0547058823529,-1.0854635133085846,
Warszawa,Malaga,Hiszpania,Warszawa,2026-06-10,2026-06-16,6,219.0,183.07,402.07,WARS,AGP,WARS,wizzair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=agp&outboundDate=2026-06-10&inboundDate=2026-06-16&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Malaga,465.0547058823529,-1.0854635133085846,
Warszawa,Alicante,Hiszpania,Warszawa,2026-05-16,2026-05-23,7,164.64,238.43,403.07,WARS,ALC,WARS,ryanair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=alc&outboundDate=2026-05-16&inboundDate=2026-05-23&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Alicante,429.5358333333333,-1.5226562129425356,
Warszawa,Alicante,Hiszpania,Warszawa,2026-05-16,2026-05-22,6,164.64,238.44,403.08,WARS,ALC,WARS,ryanair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=alc&outboundDate=2026-05-16&inboundDate=2026-05-22&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Alicante,429.5358333333333,-1.5220808839159512,
Warszawa,Alicante,Hiszpania,Warszawa,2026-05-16,2026-05-20,4,164.64,238.44,403.08,WARS,ALC,WARS,ryanair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=alc&outboundDate=2026-05-16&inboundDate=2026-05-20&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Alicante,429.5358333333333,-1.5220808839159512,
Warszawa,Manchester,Wielka Brytania,Warszawa,2026-08-10,2026-08-17,7,281.01,171.96,452.97,WARS,MAN,WARS,ryanair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=man&outboundDate=2026-08-10&inboundDate=2026-08-17&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Manchester,571.8857142857142,-1.7252714670649019,
Warszawa,Alicante,Hiszpania,Warszawa,2026-07-03,2026-07-09,6,209.0,255.48,464.48,WARS,ALC,WARS,wizzair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=alc&outboundDate=2026-07-03&inboundDate=2026-07-09&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Alicante,542.8732608695652,-1.1904947953824112,
Warszawa,Alicante,Hiszpania,Warszawa,2026-07-07,2026-07-09,2,209.0,255.48,464.48,WARS,ALC,WARS,wizzair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=alc&outboundDate=2026-07-07&inboundDate=2026-07-09&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Alicante,542.8732608695652,-1.1904947953824112,
Warszawa,Alicante,Hiszpania,Warszawa,2026-07-26,2026-07-28,2,129.0,340.65,469.65,WARS,ALC,WARS,wizzair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=alc&outboundDate=2026-07-26&inboundDate=2026-07-28&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Alicante,542.8732608695652,-1.111982203561951,
Warszawa,Malaga,Hiszpania,Warszawa,2026-07-25,2026-07-28,3,171.11,322.47,493.58000000000004,WARS,AGP,WARS,ryanair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=agp&outboundDate=2026-07-25&inboundDate=2026-07-28&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Malaga,592.4497368421053,-1.9384856680442888,
Warszawa,Malaga,Hiszpania,Warszawa,2026-07-11,2026-07-16,5,196.34,298.07,494.40999999999997,WARS,AGP,WARS,ryanair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=agp&outboundDate=2026-07-11&inboundDate=2026-07-16&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Malaga,592.4497368421053,-1.9222123051744544,
Warszawa,Malaga,Hiszpania,Warszawa,2026-07-10,2026-07-16,6,219.0,298.07,517.0699999999999,WARS,AGP,WARS,wizzair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=agp&outboundDate=2026-07-10&inboundDate=2026-07-16&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Malaga,592.4497368421053,-1.4779298923666464,
Warszawa,Barcelona,Hiszpania,Warszawa,2026-08-02,2026-08-06,4,179.0,340.65,519.65,WARS,BCN,WARS,wizzair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=bcn&outboundDate=2026-08-02&inboundDate=2026-08-06&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Barcelona,569.3668421052631,-2.173484642541699,
Warszawa,Barcelona,Hiszpania,Warszawa,2026-08-02,2026-08-04,2,179.0,340.65,519.65,WARS,BCN,WARS,wizzair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=bcn&outboundDate=2026-08-02&inboundDate=2026-08-04&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Barcelona,569.3668421052631,-2.173484642541699,
Warszawa,Leeds,Wielka Brytania,Warszawa,2026-08-13,2026-08-20,7,323.6,196.53,520.13,WARS,LBA,WARS,ryanair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=lba&outboundDate=2026-08-13&inboundDate=2026-08-20&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Leeds,571.9185714285715,-1.9483236566916409,
Warszawa,Malaga,Hiszpania,Warszawa,2026-08-01,2026-08-06,5,171.11,349.15,520.26,WARS,AGP,WARS,ryanair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=agp&outboundDate=2026-08-01&inboundDate=2026-08-06&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Malaga,646.9285185185186,-2.755760915173425,
Warszawa,Barcelona,Hiszpania,Warszawa,2026-08-18,2026-08-25,7,289.0,255.48,544.48,WARS,BCN,WARS,wizzair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=bcn&outboundDate=2026-08-18&inboundDate=2026-08-25&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Barcelona,569.3668421052631,-1.0879848121211073,
Warszawa,Malaga,Hiszpania,Warszawa,2026-08-01,2026-08-04,3,171.11,387.47,558.58,WARS,AGP,WARS,ryanair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=agp&outboundDate=2026-08-01&inboundDate=2026-08-04&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Malaga,646.9285185185186,-1.922082906584359,
Warszawa,Malaga,Hiszpania,Warszawa,2026-08-29,2026-08-31,2,204.0,374.7,578.7,WARS,AGP,WARS,ryanair,ryanair,PLN,PLN,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=agp&outboundDate=2026-08-29&inboundDate=2026-08-31&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Malaga,646.9285185185186,-1.484358440696781,
Warszawa,Alicante,Hiszpania,Warszawa,2026-08-06,2026-08-12,6,239.19,340.65,579.8399999999999,WARS,ALC,WARS,ryanair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=alc&outboundDate=2026-08-06&inboundDate=2026-08-12&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Alicante,655.7227272727273,-2.2766817373563533,
Warszawa,Alicante,Hiszpania,Warszawa,2026-08-06,2026-08-11,5,239.19,340.65,579.8399999999999,WARS,ALC,WARS,ryanair,wizzair,PLN,EUR,https://www.skyscanner.net/g/referrals/v1/flights/day-view/?origin=wars&destination=alc&outboundDate=2026-08-06&inboundDate=2026-08-11&market=PL&locale=pl-PL&currency=PLN&mediaPartnerId=6439681,Warszawa-Alicante,655.7227272727273,-2.2766817373563533,
